Z	Symbol	Kesc	rel int	Ka	rel int	Ka1	rel int	Ka2	rel int	Kb	rel int	Kb1	rel int	Kb3	rel int	Kb2	rel int	Lesc	rel int	La	rel int	Lb1	rel int	Lb2	rel int	Lg1	rel int	Lg2	rel int	Lg3	rel int	Lg4	rel int	Ll	rel int	Ma esc	rel int	MZ	rel int	???	rel int	Ma1	rel int	Mb1	rel int	MG	rel int	MN	rel int	???	rel int
85	At	78.896	0	80.636	100	81.499	100	78.956		92.754	100	92.319				94.976		9.685		11.425		13.874		13.705		16.248		0		0		0		0	0	0.84		2.03	15	2.38	2	2.58	100	2.7	50	2.91		3.37		2.97	0
86	Rn	81.115	0	82.855	100	83.768	100	81.08		95.315	100	94.877				97.615		9.985		11.725		14.313		14.077		16.768		0		0		0		0		0.92		2.1	15	2.44	2	2.66	100	2.78	50	3		3.49		3.11	0
87	Fr	83.384	0	85.124	100	86.089	100	83.243		97.93	100	97.483				100.305		10.289		12.029		14.768		14.448		17.301		0		0		0		0		1		2.16	15	2.52	2	2.74	100	2.88	50	3.09		3.59		3.2	0
88	Ra	85.697	0	87.437	100	88.454	100	85.446		100.523	100	100.136				103.048		10.598		12.338		15.233		14.839		17.845		18.179		18.357		19.084		10.622		1.08		2.23	15	2.57	2	2.82	100	2.97	50	3.18		3.72		3.3	0
89	Ac	88.05	0	89.79	100	90.868	100	87.861		103.31	100	102.846				105.838		10.91		12.65		15.71		15.227		18.405		0		0		0		0		1.17		2.3	15	2.65	2	2.91	100	3.06	50	3.28		3.84		3.42	0
90	Th	90.45	0	92.19	100	93.334	100	89.942	62	106.077	100	105.592	24	104.831	12	108.671	9	11.227		12.967	100	16.199	69	15.621	26	18.977	16	19.305		19.507		20.292		11.119	6	1.2561		2.37	15	2.72	2	2.9961	100	3.1	50	3.38		3.97		3.51	0
91	Pa	92.903	0	94.643	100	95.852	100	92.271		108.906	100	108.408				111.575		11.548		13.288		16.699		16.022		19.559		19.872		20.098		20.882		11.366		1.3423		2.44	15	2.79	2	3.0823	100	3.25	50	3.47		4.1		3.62	0
92	U	95.403	0	97.143	100	98.422	100	94.649	62	111.786	100	111.289	24	110.406	13	114.549	9	11.872		13.612	100	17.217	61	16.425	26	20.163	15	20.485		20.713		21.562		11.618	7	1.4308		2.51	15	2.87	2	3.1708	100	3.34	50	3.57		4.23		3.73	0
93	Np	97.953	0	99.693	100	101.005	100	97.023		114.72	100	114.181				117.533		12.202		13.942		17.747		16.837		20.774		21.11		21.34		22.2		11.89		1.51		2.56	15	2.94	2	3.25	100	3.43	50	3.67		4.37		3.86	0
94	Pu	100.555	0	102.295	100	103.653	100	99.457		117.716	100	117.146				120.592		12.536		14.276		18.291		17.252		21.401		21.725		21.982		22.891		12.124		1.59		2.63	15	3.01	2	3.33	100	3.53	50	3.77		4.49		3.98	0
95	Am	103.212	0	104.952	100	106.351	100	101.932		120.775	100	120.163				123.706		12.875		14.615		18.849		17.673		22.042		22.361		0		0		12.384		1.69		2.69	15	3.1	2	3.43	100	3.63	50	3.78		4.62		4.1	0
96	Cm	105.93	0	107.67	100	109.098	100	104.448		123.903	100	123.235				126.875		13.221		14.961		19.393		18.106		22.699		0		0		0		0		0		0		0		0		0		0		0		0	0
97	Bk	108.71	0	110.45	100	111.595	100	107.023		127.102	100	126.362				130.101		13.569		15.309		19.971		18.54		23.37		0		0		0		0		0		0		0		0		0		0		0		0	0
98	Cf	111.558	0	113.298	100	114.745	100	109.603		130.377	100	129.544				133.383		13.821		15.561		20.562		18.98		24.056		0		0		0		0		0		0		0		0		0		0		0		0	0
99	Es	114.477	0	116.217	100	117.646	100	112.244		133.73	100	132.781				136.724		14.278		16.018		21.166		19.425		24.758		0		0		0		0		0		0		0		0		0		0		0		0	0
100	Fm	117.47	0	119.21	100	120.596	100	114.926		137.167	100	136.075				140.122		14.639		16.379		21.785		19.879		25.475		0		0		0		0		0		0		0		0		0		0		0		0	0
